d=1024	 lambda=16	 n=2048
2000	 2000	 False
2003	 2003	 False
2000	 2000	 False
2000	 1999	 False
2000	 2000	 False
2000	 2000	 False
2000	 2000	 False
2000	 2000	 False
1997	 1997	 False
2002	 2002	 False
2000	 2000	 False
2002	 2002	 False
2002	 2002	 False
2002	 2002	 False
2002	 2002	 False
2001	 2001	 False
2002	 2002	 False
2003	 2003	 False
1999	 1999	 False
2002	 2002	 False
2000	 2000	 False
2001	 2001	 False
1998	 1998	 False
2000	 2000	 False
2002	 2002	 False
2000	 2000	 False
2003	 2003	 False
2002	 2002	 False
run=16
2001	 2001	 False
2003	 2003	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
1997	 1997	 False
2002	 2002	 False
2001	 2001	 False
2000	 2000	 False
2002	 2002	 False
2000	 2000	 False
2000	 2000	 False
2000	 2000	 False
2000	 2000	 False
2003	 2003	 False
2001	 2001	 False
2000	 2000	 False
2001	 2001	 False
2002	 2002	 False
2002	 2002	 False
2002	 2002	 False
2001	 2001	 False
1996	 1996	 False
2003	 2003	 False
1999	 1999	 False
2000	 2000	 False
2000	 2000	 False
2000	 2000	 False
2002	 2002	 False
1999	 1999	 False
2000	 2000	 False
2003	 2003	 False
2002	 2002	 False
2002	 2002	 False
2002	 2002	 False
1998	 1997	 False
2001	 2000	 False
1999	 1999	 False
2001	 2001	 False
2001	 2001	 False
2000	 2000	 False
2001	 2001	 False
2001	 2001	 False
2002	 2002	 False
2001	 2001	 False
run=17
2000	 2000	 False
1999	 1999	 False
2001	 2001	 False
2002	 2002	 False
2000	 2000	 False
1999	 1999	 False
2003	 2003	 False
2002	 2002	 False
2002	 2002	 False
1997	 1997	 False
1999	 1999	 False
2000	 2000	 False
2001	 2001	 False
